Id,Label,io,iob,year,field,field2,type,polygon_field,color_field,polygon_io,color_io,color_io2,polygon
994,UN2005GenComCESCR17,UN,CESCR,2005,EcoSoc,,GenCom,5,#ff7f0e,,#1f77b4,#88540e,3
995,UN2005GenComCESCR18,UN,CESCR,2005,EcoSoc,,GenCom,5,#ff7f0e,,#1f77b4,#88540e,3
996,UN2005GenComCRC6,UN,CRC,2005,Discrimination,Children,GenCom,6,#d62728,,#1f77b4,#c332e9,3
997,UN2005GenComCRC7,UN,CRC,2005,Discrimination,Children,GenCom,6,#d62728,,#1f77b4,#c332e9,3
998,UN2005GenRecCERD30,UN,CERD,2005,Political,Race,GenRec,3,#e377c2,,#1f77b4,#bcf8c3,3
999,UN2005GenRecCERD31,UN,CERD,2005,Civil,Race,GenRec,4,#1f77b4,,#1f77b4,#bcf8c3,3
1000,UN2005HRCres15,UN,HRC,2005,Community,Enviro,Res,7,#8c564b,,#1f77b4,#7edff1,0
1001,UN2005HRCres200541,UN,HRC,2005,Discrimination,Women,Res,6,#d62728,,#1f77b4,#7edff1,0
1002,UN2005HRCres200544,UN,HRC,2005,Discrimination,Children,Res,6,#d62728,,#1f77b4,#7edff1,0
1003,UN2005HRCres60,UN,HRC,2005,Community,Enviro,Res,7,#8c564b,,#1f77b4,#7edff1,0
1004,UN2005Res60141,UN,UNGA,2005,Discrimination,Children,Res,6,#d62728,,#1f77b4,#1144a3,0
1005,UN2005Res60147,UN,UNGA,2005,General,,Res,,#2ca02c,,#1f77b4,#1144a3,0
1006,UN2005Res60159,UN,UNGA,2005,Civil,,Res,4,#1f77b4,,#1f77b4,#1144a3,0
1007,UN2005Res60175,UN,UNGA,2005,Civil,,Res,4,#1f77b4,,#1f77b4,#1144a3,0
1008,UN2005Res60176,UN,UNGA,2005,Civil,,Res,4,#1f77b4,,#1f77b4,#1144a3,0
1009,UN2005Res60177,UN,UNGA,2005,Civil,,Res,4,#1f77b4,,#1f77b4,#1144a3,0
1010,UN2005WorldSumOut,UN,UNGA,2005,NonHR,,Res,,#c7c7c7,,#1f77b4,#1144a3,0
1011,UN2006ConvEnforcDisap,UN,UNGA,2006,Civil,ForceDis,Conv,4,#1f77b4,,#1f77b4,#1144a3,0
1012,UN2006Disab,UN,UNGA,2006,Discrimination,Disab,Conv,6,#d62728,,#1f77b4,#1144a3,0
1013,UN2006DisabOP1,UN,UNGA,2006,Discrimination,Disab,OP,6,#d62728,,#1f77b4,#1144a3,0
